"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","USACE Division","USACE District","Last EAP Exercise Date"
"Thomas","Lewis Lake, J L Thomas Reservoir","","CO01402","","CO01402","RANCH LAKE (CARNEY, IAN)","Private","Private","0","ALONZO H. ADAMS;COLORADO ENGINEERING","No","Irrigation","Irrigation;Recreation","Colorado","380138","39.340008999999995","-107.192237","Colorado","Pitkin","CARBONDALE","3","THOMAS CREEK-OS","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","32","31","32","32","25-50 feet","100","6933","1938","1930-1939","1999F;1999H;1999S","292","292","172","15","0","800","Uncontrolled","12","0","0","","0","","Slide (sluice gate)1;Valve2","2022-12-22","2022-09-09","2","Significant","Fair","2022-09-09","Yes","2012-04-20","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Crescent Lake #2","Mackinaw Lake","","CO00920","","CO00920","ORRIS & JOE ALBERTSON","Private","Private","","","Yes","Irrigation","Irrigation;Recreation","Colorado","530105","39.906679","-107.155571","Colorado","Garfield","DERBY JUNCTION","15","S FORK DERBY CR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","9","9","9","9","Less than 25 feet","305","0","1940","1940-1949","","213","213","85","12","1","135","Uncontrolled","10","0","0","","0","","","2022-12-22","1986-07-22","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Paonia","","","CO01691","","CO01691","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Flood Risk Reduction","Irrigation;Recreation;Flood Risk Reduction","Bureau of Reclamation","","38.941900000000004","-107.3523","Colorado","Gunnison","SOMERSET","7","COLORADO RIVER","Congressional District 03, Colorado","S4, T13S, R89W OF 6PM","Yes","Yes","DWR","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Earth","Earth","Earth","Rock","199","177","199","199","Greater than 100 feet","770","1302000","1961","1960-1969","","23230","23230","17461","357","255","12500","Uncontrolled","30","0","0","","0","","Slide (sluice gate);Uncontrolled","2021-05-24","2020-08-20","1","High","Not Available","","Yes","2020-07-17","https://www.usbr.gov/ssle/damsafety/","South Pacific Division","Sacramento District",""
"St. George","","","CO00661","","CO00661","ST. GEORGE RES. ESTATES, INC.","Private","Private","0","","","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","400617","38.815006","-107.903903","Colorado","Delta","DELTA","10","DRY CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","21","21","21","21","Less than 25 feet","975","51552","1951","1950-1959","","495","495","100","15","1","164","None","12","0","0","","0","","None;Uncontrolled","2022-12-22","2013-07-18","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Keeler","Shalona Lake","","CO00896","","CO00896","ENGLISH, PATRICK","Private","Private","0","","No","Recreation","Fish and Wildlife Pond;Recreation;Water Supply","Colorado","300110","37.482406","-107.806997","Colorado","La Plata","DURANGO","15","ELBERT CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","43","40","50","50","51-100 feet","470","","1945","1940-1949","","670","670","488","28","13","872","Uncontrolled","17","0","0","","0","","Slide (sluice gate)1","2022-12-22","2021-11-29","2","Significant","Fair","2021-11-29","Yes","2012-07-01","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Ferron Debris Basin No. 5","","","UT00386","","UT00386","FERRON CANAL AND RESERVOIR & COMPANY","Private","Private","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Utah","UT00386","39.11018055","-111.1540585","Utah","Emery","FERRON","1","INDIAN HOLLOW","Congressional District 03, Utah","05,20S~7E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","","","","27","35","35","25-50 feet","850","","1970","1970-1979","","207","207","65","","2","","","","","","","","","","2021-05-24","2018-04-23","3","Significant","Not Rated","","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Gordon","","","UT00062","","UT00062","CARLISLE WATER COMPANY","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00062","37.91017788","-109.3940073","Utah","San Juan","MONTICELLO","5","NORTH MONTEZUMA CREEK","Congressional District 03, Utah","16,33S~23E SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","31","34","34","25-50 feet","460","","1930","1930-1939","","230","230","179","","5.5","","","","","","","","","","2021-03-17","2020-10-07","2","Significant","Not Rated","","Yes","","https://damsafety.org/utah","South Pacific Division","Sacramento District",""
"Tonier Gulch","","","CO01710","","CO01710","COBERLY CREEK RANCH (NEELIS, MIKE & MERRILEE)","Private","Private","0","UNKNOWN","No","Irrigation","Irrigation","Colorado","530131","40.092506","-106.741404","Colorado","Routt","MCCOY","17","TOPONAS CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","32","32","32","32","25-50 feet","325","14733","1946","1940-1949","","124","124","64","10","1","390","Uncontrolled","10","0","0","","0","","Slide (sluice gate)1","2022-12-22","2018-07-24","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Alexander","","","CO00563","","CO00563","GRAY, TODD","Private","Private","0","","","Irrigation","Irrigation;Recreation;Fire Protection, Stock, Or Small Fish Pond","Colorado","410101","38.456919","-107.951857","Colorado","Montrose","OLATHE","12","SPRING CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock","28","33","33","33","25-50 feet","330","27226","1968","1960-1969","","36","36","21","3","0","59","None","2","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2017-04-19","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Julius Park","","","UT00388","","UT00388","MOSBY IRRIGATION COMPANY","Private","Private","0","","No","Irrigation","Irrigation","Utah","UT00388","40.63852397","-109.8940378","Utah","Uintah","NONE - DRAINS TO GRE","0","DRY FORK - OFFSTREAM","Congressional District 01, Utah","28,3N~1E US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","19","23","23","Less than 25 feet","610","","1974","1970-1979","","349","349","244","","1","100","","","","","","","","","2021-03-17","2020-07-30","2","Significant","Not Rated","","Yes","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Upper Elk Reservoir","","","CO03059","","CO03059","DIAMOND PEAK CATTLE COMPANY (RAFTOPOULOS, JOHN)","Private","Private","","","No","Irrigation","Irrigation;Fish and Wildlife Pond","Colorado","560109","40.919388","-108.864945","Colorado","Moffat","","","UPPER ELK CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","21","17","21","21","Less than 25 feet","230","","2012","Since 2000","","238","238","143","24","8","1126","Uncontrolled","60","0","0","","0","","","2022-12-22","","6","Low","Fair","2021-08-30","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"High Park Lake","","","CO00933","","CO00933","HIGH CIMARRON, LLC (ARONSTEIN, JIM)","Private","Private","0","","","Water Supply","Irrigation;Water Supply;Fire Protection, Stock, Or Small Fish Pond","Colorado","620109","38.281696","-107.600108","Colorado","Gunnison","DELTA","49","HIGH PARK CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","32","35","37","37","25-50 feet","360","21357","1955","1950-1959","","582","582","422","32","1","864","None","25","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2015-07-24","6","Low","Fair","2007-06-14","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Ruedi","","","CO01664","","CO01664","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Hydroelectric","Irrigation;Recreation;Hydroelectric;Water Supply;Other","Bureau of Reclamation","","39.3624","-106.8181","Colorado","Pitkin","BASALT","12","FRYINGPAN RIVER","Congressional District 03, Colorado","S18, T8S, R84W OF SIXTH PM","Yes","Yes","DWR","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","Earth","Earth","Earth","Rock;Soil","291","301","322","322","Greater than 100 feet","1042","3750000","1968","1960-1969","","119007","119007","102373","1110","226","5540","Uncontrolled","25","0","0","","0","","Valve6","2021-05-24","2020-07-02","1","High","Not Available","","Yes","2020-01-24","https://www.usbr.gov/ssle/damsafety/","Northwestern Division","Sacramento District",""
"Scales #3 (Upper)","","","CO00109","","CO00109","CITY OF GRAND JUNCTION","Local Government","Local Government","0","","Yes","Irrigation","Irrigation","Colorado","420138","39.04501","-108.017231","Colorado","Mesa","GRAND JUNCTION","27","KAHNAH CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","7","7","9","9","Less than 25 feet","350","2742","1969","1960-1969","","242","242","130","45","0","681","None","25","0","0","","0","","Uncontrolled;Valve","2022-12-22","2019-07-23","6","Low","Not Rated","","Yes","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Red Mesa Ward","Mormon, Ward","","CO01075","","CO01075","RED MESA RESERVOIR & DITCH CO. (JIM GREER)","Private","Private","0","","No","Irrigation","Irrigation","Colorado","330105","37.166678999999995","-108.14223","Colorado","La Plata","FARMINGTON, NM","32","HAY GULCH","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","59","60","61","61","51-100 feet","420","","1915","1910-1919","","1454","1454","1176","59","30","5500","Uncontrolled","40","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-07-18","1","High","Fair","2022-07-18","Yes","2011-07-01","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Todd","","","CO01802","","CO01802","TOWN OF PAONIA (LEON, SCOTT)","Local Government","Local Government","0","","Yes","Irrigation","Irrigation;Water Supply;Fire Protection, Stock, Or Small Fish Pond","Colorado","400522","38.783336999999996","-107.578906","Colorado","Delta","HOTCHKISS","7","MCDONALD CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","37","37","37","37","25-50 feet","275","36512","1905","1900-1909","","244","244","244","14","0","0","None","0","0","0","","0","","Uncontrolled;Valve","2022-12-22","2007-05-24","6","Low","Satisfactory","2009-08-13","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"2nd Enl. Guild & Dean","Enl of 1827r","6827r","WY01254","","WY01254","GUILD FAMILY TRUST","Private","Private","0","KENNETH WALKER;USDA NRCS","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Wyoming","13296R","41.214166999999996","-110.628889","Wyoming","Uinta","CARTER","24","BIG MUDDY CREEK OFFSTREAM","Congressional District 00, Wyoming","8","Yes","Yes","SEO","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Earth","Soil","40","35","40","40","25-50 feet","900","36900","2001","Since 2000","","2926","2926","1996","187","0","33","Uncontrolled","40","","","","","","Valve1","2022-03-17","2019-09-30","5","Low","Fair","2019-09-30","Not Required","","https://damsafety.org/wyoming","South Pacific Division","Sacramento District",""
"Christenson","","","CO02552","","CO02552","GUNTHER COVERS","Private","Private","0","UNKNOWN","No","Other","Other","Colorado","380204","39.264447","-106.968901","Colorado","Pitkin","OLD SNOWMASS","5","SNOWMASS CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","17","15","17","17","Less than 25 feet","100","1680","1907","1900-1909","","33","33","13","4","0","22","Uncontrolled","1.3","0","0","","0","","Slide (sluice gate)1","2022-12-22","2020-09-02","2","Significant","Unsatisfactory","2020-09-02","No","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Community Pond","","","CO02977","","CO02977","ELK SPRINGS LAND OWNER'S ASSOCIATION (DUNCAN, MIKE","Private","Private","0","","No","Recreation","Fish and Wildlife Pond;Recreation","Colorado","410205","38.353192","-107.650791","Colorado","Montrose","","","BEATON CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","32","29","32","32","25-50 feet","420","","","Undetermined","","18","18","15","2","0","","Uncontrolled","3","0","0","","0","","","2022-12-22","2021-06-24","6","Low","Fair","2018-09-25","Not Required","1997-07-16","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Luark","","","CO00931","","CO00931","PAT E. LUARK","Private","Private","0","UNKNOWN","No","Irrigation","Irrigation","Colorado","530120","39.905007","-106.872225","Colorado","Eagle","BURNS","5","UNNAMED TRIB TO COLO R-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","42","56","42","56","51-100 feet","250","22361","1947","1940-1949","","103","103","87","5","4","355","Uncontrolled","15","0","0","","0","","Slide (sluice gate)1","2022-12-22","1999-08-26","0","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Enl Badger Creek","","","WY02913","","WY02913","SENECA INDUSTRIES INC.","Private","Private","","NAVIGATOR ENGINEERING","No","Irrigation","Irrigation","Wyoming","14920R","43.1679","-110.07600000000001","Wyoming","Sublette","CORA","15","BADGER CREEK","Congressional District 00, Wyoming","","Yes","Yes","SEO","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","38","34","38","38","25-50 feet","1500","39000","2019","Since 2000","","251","251","165","15.4","3.44","","Uncontrolled","20","","","","","","Other Controlled1;Valve1","2022-03-17","2021-11-08","5","Low","Fair","2021-11-08","Not Required","","https://damsafety.org/wyoming","Northwestern Division;Northwestern Division","Omaha District;Walla Walla District",""
"Vega","","","CO01697","","CO01697","RECLAMATION","Federal","Federal","0","RECLAMATION","No","Irrigation","Irrigation","Bureau of Reclamation","","39.2243","-107.8108","Colorado","Mesa","COLLBRAN","8","PLATEAU CREEK","Congressional District 03, Colorado","S6 , T10S, R93W OF 6PM","Yes","Yes","DWR","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","","Earth","Earth","Earth","Rock;Soil","130","136","162","162","Greater than 100 feet","2100","981825","1959","1950-1959","","38102","38102","32980","1109","24","1650","Uncontrolled","25","0","0","","0","","Slide (sluice gate)1;Valve2","2021-05-24","2020-08-11","1","High","Not Available","","Yes","2020-07-17","https://www.usbr.gov/ssle/damsafety/","Northwestern Division","Sacramento District",""
"Baxter","","","CO02189","","CO02189","PAVLISICK, ANDY","Private","Private","0","","","Recreation","Recreation","Colorado","400701","38.769065","-107.672324","Colorado","Delta","HOTCHKISS","3","SMITH FORK CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","30","30","30","30","25-50 feet","1500","37781","1937","1930-1939","","423","423","283","28","0","1470","None","50","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2016-05-17","6","Low","Satisfactory","2022-10-06","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Saddle","","","CO02101","","CO02101","WYMAN (SON) FOR VEDA WYMAN, STEVE","Private","Private","0","","No","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond","Colorado","440204","40.256678","-107.377235","Colorado","Routt","CRAIG","23","BUTLER CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","19","19","19","19","Less than 25 feet","418","13711","1908","1900-1909","","171","171","141","15","1","28","Uncontrolled","10","0","0","","0","","","2022-12-22","2019-07-15","6","Low","Satisfactory","2011-05-03","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Mccargar","","","CO01858","","CO01858","STEVE COOLIDGE","Private","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Colorado","540110","40.906118","-106.971119","Colorado","Routt","SLATER, COLORADO","26","INDEPENDENCE CR-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","22","18","23","23","Less than 25 feet","330","20676","1974","1970-1979","","113","113","81","9","0","323","Uncontrolled","19.5","0","0","","0","","","2022-12-22","2017-08-01","6","Low","Satisfactory","2013-09-29","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Vouga","","","CO00800","","CO00800","VOUGA RESERVOIR ASSOCIATION (STAHELI, RALPH)","Private","Private","0","","","Irrigation","Irrigation","Colorado","280109","38.355002999999996","-106.663902","Colorado","Saguache","GUNNISON","24","RAZOR CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","56","60","60","60","51-100 feet","1195","66800","1978","1970-1979","","1450","1450","920","50","32","4550","Uncontrolled","55.5","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2022-07-08","1","High","Unsatisfactory","2022-07-08","Yes","2021-01-15","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Taylor, Art","","","UT50499","","UT50499","ART TAYLOR","Private","Private","0","","No","Other","Other","Utah","UT50499","40.15656498","-110.4079526","Utah","Duchesne","","","","Congressional District 01, Utah","12,4S~5W US","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","","24","30","30","25-50 feet","100","","2002","Since 2000","","3.7","","3.7","","80","","","8","","","","","","","2021-03-17","","2","Significant","Not Rated","","No","","https://damsafety.org/utah","Northwestern Division","Sacramento District",""
"Aps Ash Pond Tailings Dam No.  6","Ash Pond 6","","NM00519","","NM00519","ARIZONA PUBLIC SERVICE COMPANY","Public Utility","Public Utility","0","DAMES & MOORE","No","Tailings","Tailings","New Mexico","D-519","36.6946","-108.51060000000001","New Mexico","San Juan","SHIPROCK","15","CHACO WASH - TR","Congressional District 03, New Mexico","T29N R16W S34","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","Unlisted/Unknown","90","","","90","51-100 feet","7550","0","1983","1980-1989","1999","1743","1743","1743","140","0.37","","None","0","0","0","","0","","","2021-04-09","2019-11-20","5","Low","Satisfactory","2019-11-20","Not Required","","https://damsafety.org/new-mexico","South Pacific Division","Albuquerque District",""
"Stevens","","","CO01097","","CO01097","PAGOSA AREA WATER & SANITATION DISTRICT (WINTON, E","Public Utility","Public Utility","0","DAVIS ENGINEERING SERVICE, INC.;USDA NRCS","No","Water Supply","Water Supply","Colorado","780105","37.29944","-107.075579","Colorado","Archuleta","PAGOSA SPRINGS","0","DUTTON CREEK","Congressional District 03, Colorado","S05,T.35N,R.02W, NEW MEXICO","Yes","Yes","DWR","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","","","","Earth","Earth","Unlisted/Unknown","Rock;Soil","42","36","46","46","25-50 feet","1300","","1948","1940-1949","2008","2697","2697","1775","162","5","4684","Uncontrolled","279","0","0","","0","","Slide (sluice gate)1","2022-12-22","2022-07-26","1","High","Satisfactory","2022-07-26","Yes","2009-02-12","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Buffehrs","","","CO01744","","CO01744","CLIMAX MINE (TAVIS ROGERS EXT 727)","Private","Private","0","","No","Water Supply","Water Supply","Colorado","360111","39.443332999999996","-106.19389699999999","Colorado","Summit","FRISCO","15","TENMILE CREEK-OS","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","20","20","20","20","Less than 25 feet","1300","0","1918","1910-1919","","152","152","103","15","0","52","Uncontrolled","9.5","0","0","","0","","","2022-12-22","1989-08-09","0","Low","Satisfactory","2017-08-09","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Himmelland","","","CO00679","","CO00679","LOST LAKES RANCH LLC (ERNEMANN, ANDREW)","Private","Private","0","EAGLE ENGINEERING CO;WRIGHT WATER","No","Recreation","Irrigation;Recreation","Colorado","380112","39.34195","-106.631676","Colorado","Pitkin","BASALT","26","N FORK FRYINGPAN RIVER","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","20","20","24","24","Less than 25 feet","560","12326","1967","1960-1969","1968H;2008H;2008M","200","200","67","15","27","1223","Uncontrolled","36","0","0","","0","","Slide (sluice gate)1","2022-12-22","2015-12-08","6","Low","Satisfactory","2019-09-06","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Sawmill","","","CO00665","","CO00665","TOWN OF BRECKENRIDGE (LAURA LYNCH)","Local Government","Local Government","0","STANTEC;UNKNOWN","No","Recreation","Recreation","Colorado","360109","39.473338999999996","-106.058899","Colorado","Summit","BRECKENRIDGE","1","SAWMILL GULCH-OS","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","17","17","17","17","Less than 25 feet","180","5919","1890","Before 1900","2006H;2006M;2006S","40","40","27","4","0","300","Uncontrolled","10","0","0","","0","","Slide (sluice gate)1","2022-12-22","2021-09-23","2","Significant","Satisfactory","2021-09-23","Yes","2015-12-08","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Lewis","","","CO02930","","CO02930","WINGSPREAD WEST, LLC (STOLZ, WHIT)","Private","Private","0","STEVE STEFFENS","No","Irrigation","Irrigation","Colorado","500136","40.218061","-106.494043","Colorado","Grand","KREMMLING","19","PINTO CREEK-TR","Congressional District 02, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","18","16","18","18","Less than 25 feet","500","","2006","Since 2000","","97","97","69","9","0","142","Uncontrolled","22","0","0","","0","","","2022-12-22","2019-10-08","6","Low","Fair","2012-09-14","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Hadley","","","CO01701","","CO01701","TED WASHBURNE","Private","Private","","","Yes","Irrigation","Irrigation","Colorado","530110","40.026677","-106.75223199999999","Colorado","Routt","MC COY","13","EGERIA CREEK-TR","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","12","12","12","12","Less than 25 feet","250","0","1904","1900-1909","","215","215","50","12","0","15","None","3","0","0","","0","","","2022-12-22","1985-09-16","6","Low","Fair","2020-10-06","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"G.H. and S. #2","Schrader","","CO00484","","CO00484","PATTERSON, TOM","Private","Private","0","EDWARD J. CURRIER","No","Irrigation","Irrigation;Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Colorado","420119","38.892933","-108.68302800000001","Colorado","Mesa","WHITEWATER","22","NORTH EAST CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Rock;Soil","32","32","38","38","25-50 feet","525","20118","1950","1950-1959","2001","504","504","287","20","0","2590","Uncontrolled","50","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2021-05-19","6","Low","Not Rated","","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Mcphee - Great Cut Dike","","","CO02707","S001","CO02707S001","RECLAMATION","Federal","Federal","0","","No","Fish and Wildlife Pond","Irrigation;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply","Bureau of Reclamation","","37.511","-108.58760000000001","Colorado","Montezuma","ANETH, UT","50","","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","Bureau of Reclamation","Bureau of Reclamation","","","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Bureau of Reclamation","Earth","Earth","Bituminous Concrete","Rock","64","","64","64","51-100 feet","2006","189000","1984","1980-1989","","399200","399200","381000","4918","","","None","0","0","0","","0","","","2021-05-24","2020-09-23","1","High","Not Available","","Yes","2020-12-09","https://www.usbr.gov/ssle/damsafety/","South Pacific Division","Sacramento District",""
"Cheney","","","CO02073","","CO02073","HARRIS FAMILY TRUST (GLENDA HARRIS, EXECUTOR)","Private","Private","0","","","Irrigation","Irrigation;Water Supply;Fire Protection, Stock, Or Small Fish Pond","Colorado","420112","38.885009","-108.325568","Colorado","Mesa","DELTA","2","KING CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","Earth","Soil","30","30","30","30","25-50 feet","350","34742","1908","1900-1909","","210","210","90","40","2","137","None","10","0","0","","0","","Slide (sluice gate);Uncontrolled","2022-12-22","2019-05-16","6","Low","Satisfactory","2019-06-07","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
"Rams Horn","","","CO01027","","CO01027","LONE CREEK LAND COMPANY (LAUGHLIN, CHRIS)","Private","Private","0","","Yes","Irrigation","Irrigation","Colorado","580129","40.045004","-107.050574","Colorado","Garfield","YAMPA","10","DOME CREEK","Congressional District 03, Colorado","","Yes","Yes","DWR","Yes","Yes","Yes","","","","","","","","","Earth","Earth","","","21","16","21","21","Less than 25 feet","253","8450","1942","1940-1949","","187","187","122","13","2","1036","Uncontrolled","30","0","0","","0","","","2022-12-22","2013-09-04","6","Low","Fair","2010-10-05","Not Required","","https://damsafety.org/colorado","South Pacific Division","Sacramento District",""
