,Spillway Type,Dam Length (Ft),Federal Agency Involvement Other,Dam Name,Other Structure ID,Federal Agency Involvement Operation,Foundation,EAP Prepared,Core Types,Purposes,Congressional District,Surface Area (Acres),"Section, Township, or Range Location",Drainage Area (Sq Miles),Hydraulic Height (Ft),Federal Agency Involvement Design,Length of Locks,Primary Owner Type,City,geometry,Primary Dam Type,Owner Types,State Permitting Authority,River or Stream Name,Secondary Lock Width (Ft),Federal Agency Involvement Construction,NID Height Category,NID Storage (Acre-Ft),Federal Agency Involvement Funding,Years Modified,Other Names,Dam Height (Ft),State Jurisdictional Dam,County,Lock Width (Ft),EAP Last Revision Date,Length of Secondary Lock,Federal ID,Number of Associated Structures,State Regulated Dam,Distance to Nearest City (Miles),Year Completed Category,Dam Types,State Enforcement Authority,State Inspection Authority,Structural Height (Ft),Latitude,Hazard Potential Classification,Year Completed,Owner Names,NID Height (Ft),Source Agency,Condition Assessment,Inspection Frequency,Volume (Cubic Yards),Designer Names,Condition Assessment Date,Primary Purpose,Website URL,NID ID,Data Last Updated,Max Storage (Acre-Ft),State Regulatory Agency,Max Discharge (Cubic Ft/Second),Former Names,Federal Agency Involvement Inspection,Non-Federal Dam on Federal Property,Longitude,State or Federal Agency ID,Spillway Width (Ft),Federal Agency Involvement Regulatory,Normal Storage (Acre-Ft),Federal Agency Owners,State,Outlet Gate Type,Number of Locks,Last Inspection Date
869,None,90,,Buckhorn Lake #2,,,Rock;Soil,Not Required,Earth,"Irrigation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, Colorado",24,,0,30,,0,Private,MONTROSE,,Earth,Private,Yes,"UNCOMPAHGRE RIVER, TR&SP-TR",,,25-50 feet,299,,,Lower Buckhorn,30,Yes,Montrose,0,,,CO01752,0,Yes,20,Before 1900,Earth,Yes,Yes,30,38.340818,Low,1884,"BUCKHORN MOUNTAIN RANCH (ROBERT, PULLIAM)",30,Colorado,Fair,6,8266,,2022-09-29,Irrigation,https://damsafety.org/colorado,CO01752,2022-12-22,299,DWR,385,,,,-107.646919,410102,10,,155,,Colorado,Slide (sluice gate);Uncontrolled,0,2021-06-24
870,Uncontrolled,245,,Black Lake #2,,,Rock;Soil,Yes,Earth,Recreation,"Congressional District 02, Colorado",9,,1,22,,0,State,VAIL,,Earth,State,Yes,BLACK GORE CREEK,,,25-50 feet,148,,,,27,Yes,Eagle,0,2016-01-31,,CO00666,0,Yes,7,1950-1959,Earth,Yes,Yes,30,39.550008999999996,Significant,1957,COLORADO PARKS AND WILDLIFE,30,Colorado,Satisfactory,2,11118,DIVISION OF WILDLIFE,2021-07-07,Recreation,https://damsafety.org/colorado,CO00666,2022-12-22,148,DWR,648,,,Yes,-106.225565,370101,24,,98,,Colorado,Slide (sluice gate)1,0,2021-07-07
871,Uncontrolled,700,,Pinon Lake,,,,Yes,,Irrigation;Fish and Wildlife Pond;Recreation,"Congressional District 03, Colorado",37,,1,12,,0,Private,"BLANCO, NM",,Earth,Private,Yes,MARTINEZ CREEK-TR,,,Less than 25 feet,310,,,,14,Yes,Archuleta,0,2007-03-30,,CO01747,0,Yes,58,1970-1979,Earth,Yes,Yes,17,37.264179,Significant,1971,FAIRFIELD PAGOSA (ALEX MARTINEZ),17,Colorado,Satisfactory,2,,,2019-10-10,Recreation,https://damsafety.org/colorado,CO01747,2022-12-22,310,DWR,3393,,,No,-107.068623,780111,15,,123,,Colorado,Slide (sluice gate)1,0,2019-10-10
872,Uncontrolled,426,,Kelly,,,Rock;Soil,Not Required,Earth,Irrigation;Recreation,"Congressional District 03, Colorado",17,"S18,T.01N,R.84W, 6TH PM",2,27,Natural Resources Conservation Service,0,Private,TOPONAS,,Earth,Private,Yes,EGERIA CREEK-TR,,,25-50 feet,382,,,,30,Yes,Routt,0,2016-08-22,,CO00930,0,Yes,3,1960-1969,Earth,Yes,Yes,40,40.056672,Low,1964,"LONE CREEK LAND COMPANY (LAUGHLIN, CHRIS)",40,Colorado,Satisfactory,6,17707,RONALD BLUWITH;USDA NRCS,2016-06-08,Recreation,https://damsafety.org/colorado,CO00930,2022-12-22,382,DWR,262,,,No,-106.862231,530119,19,,113,,Colorado,Slide (sluice gate)2;Valve1,0,2021-07-28
873,Uncontrolled,269,,Upper Black Creek Res,,,Rock;Soil,Yes,Earth,Irrigation;Recreation,"Congressional District 02, Colorado",21,,15,40,,0,Private,KREMMLING,,Earth,Private,Yes,BLACK CREEK,,,25-50 feet,655,,,Blue Lake,41,Yes,Summit,0,2011-05-27,,CO00879,0,Yes,17,1950-1959,Earth,Yes,Yes,48,39.80529,Significant,1957,"BLUE LAKE RESERVOIR COMPANY (KNOWLTON, NANCY)",48,Colorado,Not Rated,2,21273,UNKNOWN,,Recreation,https://damsafety.org/colorado,CO00879,2022-12-22,655,DWR,1750,Black Creek,,No,-106.263904,360127,28,,428,,Colorado,Slide (sluice gate)1,0,2022-08-26
874,,4150,,Millsite,,,,Yes,,Irrigation,"Congressional District 03, Utah",,"12,20S~6E SL",157,107,Natural Resources Conservation Service,,Private,FERRON,,Earth,Private,Yes,FERRON CREEK,,,Greater than 100 feet,20000,,,,,Yes,Emery,,,,UT00212,0,Yes,3,1970-1979,Earth,Yes,Yes,115,39.10181548,High,1971,FERRON CANAL AND RESERVOIR COMPANY,115,Utah,Fair,1,,USDA NRCS,,Irrigation,https://damsafety.org/utah,UT00212,2021-05-24,20000,Utah Division of Water Rights,480,,,No,-111.1891216,UT00212,,,18000,,Utah,,,2020-09-29
875,Uncontrolled,728,,Cow Camp Reservoir,,,Soil,Not Required,Earth,Irrigation;Fish and Wildlife Pond;Recreation;Other,"Congressional District 03, Colorado",3,,0,24,,0,Private,CARBONDALE,,Earth,Private,Yes,THOMAS CREEK-OS,,,25-50 feet,18,,,,20,Yes,Pitkin,0,,,CO02898,0,Yes,,Since 2000,Earth,Yes,Yes,26,39.315137,Low,2006,"RANCH LAKE (CARNEY, IAN)",26,Colorado,Satisfactory,6,8100,JOHN CURRIER,2015-10-23,Irrigation,https://damsafety.org/colorado,CO02898,2022-12-22,18,DWR,72,,,No,-107.163659,380229,15,,13,,Colorado,,0,2018-10-01
876,None,505,,Pitch Wastewater Treatment,,,Rock;Soil,Not Required,Earth,Water Supply,"Congressional District 03, Colorado",5,,1,70,,0,Private,SARGENT,,Earth,Private,Yes,TOMICHI CREEK-TR,,,51-100 feet,115,,,"Homestake Mine Wstwater, Mine Wstwater T",70,Yes,Saguache,0,,,CO02295,0,Yes,9,1980-1989,Earth,Yes,Yes,78,38.400003999999996,Low,1980,"BARRICK GOLD NORTH AMERICA, INC. (FERDINAND, BILL)",78,Colorado,Satisfactory,6,38577,,2019-06-05,Water Supply,https://damsafety.org/colorado,CO02295,2022-12-22,115,DWR,1617,,,,-106.307236,280110,50,,88,,Colorado,Uncontrolled;Valve,0,2014-08-06
877,,2300,,Wide Hollow,,,,Yes,,Irrigation,"Congressional District 02, Utah",,"12,35S~2E SL",10,46,Natural Resources Conservation Service,,Private,ESCALANTE,,Earth,Private,Yes,ESCALANTE RIVER--OFFSTREAM,,,51-100 feet,3701,,,,,Yes,Garfield,,,,UT00325,0,Yes,2,1950-1959,Earth,Yes,Yes,51,37.78517083,High,1954,NEW ESCALANTE IRRIGATION COMPANY,51,Utah,Satisfactory,1,,Franson Civil Engineers;USDA NRCS,2011-03-22,Irrigation,https://damsafety.org/utah,UT00325,2021-05-24,3701,Utah Division of Water Rights,103,,,No,-111.63406499999999,UT00325,135,,2722,,Utah,,,2020-07-16
878,None,825,,Skim Milk,,,Rock;Soil,Not Required,Earth,Irrigation;Water Supply,"Congressional District 03, Colorado",5,,0,16,,0,Private,HOTCHKISS,,Earth,Private,Yes,LEROUX CREEK-TR,,,Less than 25 feet,99,,,,16,Yes,Delta,0,,,CO00627,0,Yes,22,1900-1909,Earth,Yes,Yes,16,39.018333,Low,1904,LEROUX CREEK WATER USERS ASSOCIATION,16,Colorado,Fair,6,28601,,2021-09-13,Irrigation,https://damsafety.org/colorado,CO00627,2022-12-22,99,DWR,205,,,Yes,-107.718898,400515,15,,84,,Colorado,Slide (sluice gate);Uncontrolled,0,2020-07-27
879,None,1360,Bureau of Reclamation,Lemon,,Bureau of Reclamation,Rock,Yes,Bituminous Concrete,Irrigation;Fish and Wildlife Pond;Recreation;Hydroelectric,"Congressional District 03, Colorado",686,"S20, T36N, R7W OF NEW MEXICO PM",68,196,,0,Federal,BONDAD,,Rockfill,Federal,Yes,FLORIDA RIVER,,,Greater than 100 feet,48658,Bureau of Reclamation,,,284,Yes,La Plata,0,2021-01-11,,CO01688,0,Yes,0,1960-1969,Rockfill;Earth,Yes,Yes,284,37.3819,High,1962,RECLAMATION,284,Bureau of Reclamation,Not Available,1,3042000,RECLAMATION,,Fish and Wildlife Pond,https://www.usbr.gov/ssle/damsafety/,CO01688,2021-05-24,48658,DWR,,,Bureau of Reclamation,No,-107.661,,57,Bureau of Reclamation,40146,Bureau of Reclamation,Colorado,,0,2020-07-08
880,,835,,Miller Flat,,,,Yes,,Irrigation,"Congressional District 03, Utah",,"03,15S~6E SL",9,68,,,Private,HUNTINGTON,,Earth,Private,Yes,MILLER FLAT CREEK,,,51-100 feet,6393,,,,,Yes,Emery,,,,UT00210,0,Yes,24,1940-1949,Earth,Yes,Yes,73,39.54184898,High,1949,HUNTINGTON-CLEVELAND IRRIGATION COMPANY,73,Utah,Satisfactory,1,,,2012-01-01,Irrigation,https://damsafety.org/utah,UT00210,2021-03-17,6393,Utah Division of Water Rights,280,,,No,-111.2423964,UT00210,,,5560,,Utah,,,2020-07-08
881,,4050,,Kens Lake,,,,Yes,,Irrigation,"Congressional District 03, Utah",,"06,27S~23E SL",3,88,,,Private,MOAB,,Earth,Private,Yes,MILL CREEK - OFFSTREAM,,,51-100 feet,3360,,,,,Yes,San Juan,,,,UT00393,0,Yes,6,1980-1989,Earth,Yes,Yes,95,38.48518111,High,1981,GRAND WATER & SEWER SERVICE,95,Utah,Satisfactory,1,,,2012-01-01,Irrigation,https://damsafety.org/utah,UT00393,2021-03-17,3360,Utah Division of Water Rights,135,,,No,-109.4290038,UT00393,,,2680,,Utah,,,2020-09-01
882,Uncontrolled,1040,,Somerville-Mccullah,,,Rock;Soil,Yes,Earth,"Irrigation;Water Supply;Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, Colorado",75,,3,41,,0,Local Government,GRAND JUNCTION,,Earth,Local Government,Yes,WHITEWATER CR,,,25-50 feet,1364,,,Somerville #1,42,Yes,Mesa,0,2022-01-18,,CO01047,0,Yes,18,1970-1979,Earth,Yes,Yes,46,39.041368,High,1972,CITY OF GRAND JUNCTION,46,Colorado,Fair,1,85876,,2022-07-28,Irrigation,https://damsafety.org/colorado,CO01047,2022-12-22,1364,DWR,900,,,,-108.21015,420306,200,,947,,Colorado,Slide (sluice gate);Uncontrolled,0,2022-07-28
883,Uncontrolled,1100,,Fish Creek Saddle,,,Rock;Soil,Yes,Earth,Water Supply,"Congressional District 03, Colorado",136,,4,37,,0,Local Government,STEAMBOAT SPRINGS,,Earth,Local Government,Yes,MIDDLE FORK FISH CREEK-TR,,,25-50 feet,5359,,1996S,,37,Yes,Routt,0,2021-02-19,,CO02851,0,Yes,7,1970-1979,Earth,Yes,Yes,47,40.496679,High,1972,"CITY OF STEAMBOAT SPRINGS (CARR, PUBLIC WORKS DIRE",47,Colorado,Satisfactory,1,20000,PAUL STETTNER;WOODWARD CLYDE,2022-08-04,Water Supply,https://damsafety.org/colorado,CO02851,2022-12-22,5359,DWR,6589,,,Yes,-106.699727,580313,80,,4167,,Colorado,,0,2022-08-04
884,Uncontrolled,1700,,Gcwsd #1,,,Soil,Not Required,Unlisted/Unknown,Other,"Congressional District 02, Colorado",9,,0,18,,0,Public Utility,,,Earth,Public Utility,Yes,,,,Less than 25 feet,94,,,,21,Yes,Grand,0,,,CO02983,0,Yes,,Since 2000,Earth,Yes,Yes,21,39.938871999999996,Low,2008,GRAND COUNTY WATER AND SAN DISTRICT NO. 1 (HUTCHIN,21,Colorado,Fair,6,,GEI,2019-06-18,Other,https://damsafety.org/colorado,CO02983,2022-12-22,94,DWR,58,,,No,-105.795691,510209,4,,69,,Colorado,,0,2017-05-17
885,None,970,,Anderson #1,,,Soil,Yes,Earth,Water Supply,"Congressional District 03, Colorado",59,,1,28,,0,Local Government,GRAND JUNCTION,,Earth,Local Government,Yes,KANNAH CREEK,,,25-50 feet,821,,,,26,Yes,Mesa,0,2022-01-18,,CO00070,0,Yes,17,1960-1969,Earth,Yes,Yes,29,39.030001999999996,Significant,1963,CITY OF GRAND JUNCTION,29,Colorado,Fair,2,68916,,2021-10-05,Water Supply,https://damsafety.org/colorado,CO00070,2022-12-22,821,DWR,772,,,Yes,-108.128903,420102,17,,467,,Colorado,Slide (sluice gate);Uncontrolled,0,2021-10-05
886,Uncontrolled,1438,,Leach Creek Detention Basin,,,Rock;Soil,Yes,Earth,Flood Risk Reduction,"Congressional District 03, Colorado",32,,7,28,,0,Public Utility,GRAND JUNCTION,,Earth,Public Utility,Yes,LEACH CREEK,,,25-50 feet,667,,,,28,Yes,Mesa,0,2021-05-17,,CO02991,0,Yes,2,Since 2000,Earth,Yes,Yes,39,39.158975,High,2015,CITY OF GRAND JUNCTION,39,Colorado,Fair,3,,S. BRET GUILLORY,2021-04-20,Flood Risk Reduction,https://damsafety.org/colorado,CO02991,2022-12-22,667,DWR,25000,,,No,-108.541729,720422,300,,248,,Colorado,None,0,2021-04-20
887,Uncontrolled,900,,Y T Ranch,,,Rock;Soil,Yes,Earth,Irrigation;Recreation,"Congressional District 03, Colorado",12,,1,29,,0,Private,COLLBRAN,,Earth,Private,Yes,GROVE CREEK,,,25-50 feet,193,,1973S;1987S;2004S,,33,Yes,Mesa,0,2022-01-19,,CO01050,0,Yes,5,1910-1919,Earth,Yes,Yes,35,39.186675,High,1911,LARAMIE ENERGY LLC,35,Colorado,Unsatisfactory,1,51000,ROLAND PALMER;UNKNOWN;UTE ENGINEERING;WESTERN ENGINEERS,2022-05-26,Recreation,https://damsafety.org/colorado,CO01050,2022-12-22,193,DWR,277,,,No,-107.893902,720237,10,,125,,Colorado,Slide (sluice gate)1,0,2022-05-26
888,Uncontrolled,877,,Pheney,,,,Not Required,,"Irrigation;Fire Protection, Stock, Or Small Fish Pond","Congressional District 02, Colorado",20,,2,40,,0,Private,KREMMLING,,Earth,Private,Yes,REEDER CREEK,,,25-50 feet,346,,,Taussig Reservoir No 1,38,Yes,Grand,0,,,CO00715,0,Yes,6,1910-1919,Earth,Yes,Yes,40,40.016672,Low,1910,"REEDER CREEK RANCH (BRUCHEZ, PAUL)",40,Colorado,Fair,6,0,,2017-12-20,Irrigation,https://damsafety.org/colorado,CO00715,2022-12-22,346,DWR,135,,,No,-106.265569,510122,10,,282,,Colorado,,0,2019-07-05
889,Uncontrolled,252,,West Miller,,,,Not Required,,Irrigation,"Congressional District 03, Colorado",15,,0,23,,0,Private,MEEKER,,Earth,Private,Yes,FOURTEEN MILE CR-TR,,,Less than 25 feet,153,,,Howey Reservoir,23,Yes,Garfield,0,,,CO01937,0,Yes,25,1900-1909,Earth,Yes,Yes,23,39.793068,Low,1906,"JAMES RITCHIE,",23,Colorado,Satisfactory,6,17115,,2015-06-17,Irrigation,https://damsafety.org/colorado,CO01937,2022-12-22,153,DWR,676,,,Yes,-107.846119,430126,16,,78,,Colorado,,0,2018-07-24
890,Uncontrolled,130,,Schorn Fish Pond,,,Rock;Soil,Not Required,Earth,Recreation,"Congressional District 03, Colorado",2,,0,26,,0,Private,MOLINA,,Earth,Private,Yes,BULL CREEK-OS,,,25-50 feet,21,,1975S;1984S;1995,Schorn Natural Pond,26,Yes,Mesa,0,,,CO02651,0,Yes,5,1930-1939,Earth,Yes,Yes,26,39.121756999999995,Low,1935,"BULL BASIN RANCH LLC (EINHELLIG, BARRY)",26,Colorado,Satisfactory,6,5108,UNKNOWN,2009-03-20,Recreation,https://damsafety.org/colorado,CO02651,2022-12-22,21,DWR,354,,,No,-108.048273,720404,10,,11,,Colorado,Slide (sluice gate)1,0,2020-05-14
891,None,250,,Hitti Gravel Pit,,,Rock;Soil,Not Required,Unlisted/Unknown,Recreation,"Congressional District 03, Colorado",30,,0,10,,0,Private,,,Earth,Private,Yes,,,,Less than 25 feet,350,,2013,,12,Yes,Archuleta,0,,,CO02987,0,Yes,,Since 2000,Earth,Yes,Yes,10,37.219235999999995,Low,2013,"HITTI, MIKE",12,Colorado,Not Rated,6,1300,N/A,,Recreation,https://damsafety.org/colorado,CO02987,2022-12-22,350,DWR,,,,No,-107.444389,780113,,,250,,Colorado,,0,2013-05-17
892,None,2400,,Gurley,,,Rock;Soil,Yes,Earth,Irrigation,"Congressional District 03, Colorado",336,,2,85,,0,Private,NORWOOD,,Earth,Private,Yes,GURLEY CANYON,,,51-100 feet,10511,,,,64,Yes,San Miguel,0,2017-07-10,,CO00158,0,Yes,12,1960-1969,Earth,Yes,Yes,88,38.035008999999995,High,1961,"FARMERS WATER DEVELOPMENT CO. (ALEXANDER, DAVE)",88,Colorado,Fair,1,77771,,2022-05-12,Irrigation,https://damsafety.org/colorado,CO00158,2022-12-22,10511,DWR,908,,,,-108.250571,600108,20,,9000,,Colorado,Slide (sluice gate);Uncontrolled,0,2022-05-12
893,,549,,Deer Retention Dam #1,,Bureau of Land Management,Unlisted/Unknown,Not Required,Earth;Unlisted/Unknown,Debris Control,"Congressional District 03, Colorado",97,,1.5,22,Bureau of Land Management,0,Federal,NONE,,Gravity,Federal,No,HORSESHOE CANYON,,Bureau of Land Management,25-50 feet,97,Bureau of Land Management,,,,No,Mesa,0,,,CO03030,,No,0,1960-1969,Gravity,No,No,27,39.28245,Low,1960,DOI BLM,27,Bureau of Land Management,Not Rated,5,24980,UNKNOWN,,Debris Control,https://www.blm.gov/,CO03030,2021-04-29,97,,,,Bureau of Land Management,No,-108.39336,L63664,,Bureau of Land Management,97,Bureau of Land Management,Colorado,,0,2018-09-11
894,None,330,,Eggleston,,,Rock;Soil,Yes,Earth,Irrigation;Recreation,"Congressional District 03, Colorado",158,,2,35,,0,Private,CEDAREDGE,,Earth,Private,Yes,KISER CREEK,,,25-50 feet,3460,,,,35,Yes,Delta,0,2020-03-01,,CO00601,0,Yes,9,1940-1949,Earth,Yes,Yes,40,39.039577,High,1949,"SURFACE CREEK DITCH & RESERVOIR CO. (WAIBEL, KEITH",40,Colorado,Fair,1,53810,,2022-06-16,Irrigation,https://damsafety.org/colorado,CO00601,2022-12-22,3460,DWR,424,,,Yes,-107.94791,400224,12,,2560,,Colorado,Slide (sluice gate);Uncontrolled,0,2022-06-16
895,,8000,,Oci Pond 2,,,Soil,Not Required,Earth,Irrigation,"Congressional District 00, Wyoming",142,10,0,31,,,Private,GREEN RIVER,,Earth,Private,Yes,TRIB. GREEN RIVER,,,25-50 feet,3500,,,,30,Yes,Sweetwater,,,,WY02577,0,Yes,18,Since 2000,Earth,Yes,Yes,31,41.732600000000005,Low,2015,Ciner,31,Wyoming,Fair,5,200000,BETHANY KELLY,2020-06-04,Irrigation,https://damsafety.org/wyoming,WY02577,2022-03-17,3500,SEO,0,,,Yes,-109.69930000000001,14373R,0,,3500,,Wyoming,None,,2020-06-04
896,Uncontrolled,1670,Bureau of Reclamation,Red Fleet,,Bureau of Reclamation,Rock,Yes,Bituminous Concrete,Irrigation;Fish and Wildlife Pond;Recreation;Water Supply,"Congressional District 01, Utah",521,,83,139,,0,Federal,VERNAL,,Earth,Federal,No,BIG BRUSH CREEK,,,Greater than 100 feet,33600,Bureau of Reclamation,,Tyzack,161,No,Uintah,0,2020-09-29,,UT82901,0,No,10,1970-1979,Earth,No,No,161,40.5748,High,1979,RECLAMATION,161,Bureau of Reclamation,Not Available,1,2300000,,,Fish and Wildlife Pond,https://www.usbr.gov/ssle/damsafety/,UT82901,2021-05-24,33600,,5510,,Bureau of Reclamation,No,-109.4222,,32,Bureau of Reclamation,26000,Bureau of Reclamation,Utah,,0,2020-09-17
897,,2950,,Big Sand Wash West,,,,Yes,,Irrigation,"Congressional District 01, Utah",,"09,2S~3W US",26.64,47,,,Private,Upalco,,Earth,Private,Yes,BIG SAND WASH,,,51-100 feet,19600,,,,,Yes,Duchesne,,,,UT53328,0,Yes,0.8,Since 2000,Earth,Yes,Yes,55,40.29518685,High,2006,MOON LAKE WATER USERS,55,Utah,Satisfactory,1,,,2006-01-01,Irrigation,https://damsafety.org/utah,UT53328,2021-03-17,19600,Utah Division of Water Rights,,,,No,-110.2307093,UT53328,,,18800,,Utah,,,2020-09-02
898,,,,Un-Named Dam 1,,,,No,,,"Congressional District 03, New Mexico",,,,,,0,Not Listed,,,,Not Listed,No,,,,25-50 feet,62,,,,44,No,San Juan,0,,,NM00704,0,No,0,Undetermined,,No,No,,36.9105,Undetermined,,,44,Bureau of Indian Affairs,Not Available,0,0,,,,https://www.bia.gov/bia/ots/dwp/safety-dams,NM00704,2018-10-04,,,,,,No,-108.876999,,0,,62,,New Mexico,,0,
899,Uncontrolled,3070,Bureau of Reclamation,Starvation,,Bureau of Reclamation,Rock,Yes,Bituminous Concrete,Irrigation,"Congressional District 01, Utah",3310,,1055,155,,0,Federal,DUCHESNE,,Earth,Federal,No,STRAWBERRY RIVER,,,Greater than 100 feet,186990,Bureau of Reclamation,,,210,No,Duchesne,0,2020-06-17,,UT10136,0,No,3,1960-1969,Earth,No,No,200,40.191,High,1969,RECLAMATION,210,Bureau of Reclamation,Not Available,1,4831000,,,Irrigation,https://www.usbr.gov/ssle/damsafety/,UT10136,2021-05-24,186990,,16600,,Bureau of Reclamation,No,-110.4435,,300,Bureau of Reclamation,165320,Bureau of Reclamation,Utah,,0,2020-07-15
900,Uncontrolled,1522,,Narraguinnep - Dam 3,,,,Yes,,Irrigation;Fish and Wildlife Pond;Recreation,"Congressional District 03, Colorado",581,,9,34,,0,Private,"BLUFF, UT",,Earth,Private,Yes,YELLOWJACKET CANYON-OS,,,25-50 feet,22700,,,Narraguinnep - Dike 3,34,Yes,Montezuma,0,2000-11-28,,CO02876,0,Yes,35,1950-1959,Earth,Yes,Yes,38,37.494744,High,1957,MONTEZUMA VALLEY IRRIGATION CO.,38,Colorado,Satisfactory,1,,,2022-10-06,Irrigation,https://damsafety.org/colorado,CO02876,2022-12-22,22700,DWR,6100,,,Yes,-108.631316,320208,150,,18960,,Colorado,,0,2022-10-06
901,Uncontrolled,192,,Matheson,,,Rock;Soil,Yes,Earth,Irrigation,"Congressional District 02, Colorado",62,,13,58,,0,Private,KREMMLING,,Earth,Private,Yes,TROUBLESOME CREEK,,,51-100 feet,1570,,,,58,Yes,Grand,0,2019-09-03,,CO00701,0,Yes,25,1950-1959,Earth,Yes,Yes,60,40.295004,Significant,1951,"CIRCLE C RANCH KREMMLING, LLC (PHELPS, DAVID)",60,Colorado,Unsatisfactory,2,32377,RALPH OWENS,2021-08-09,Irrigation,https://damsafety.org/colorado,CO00701,2022-12-22,1570,DWR,3450,,,Yes,-106.292231,500113,35,,1074,,Colorado,Slide (sluice gate)1,0,2021-08-09
902,Controlled,593,Bureau of Indian Affairs,La Jara,,Bureau of Indian Affairs,,Yes,,"Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Congressional District 03, New Mexico",,S12 T29N R2W 23,,,Bureau of Indian Affairs,0,Federal,NONE,,Earth,Federal,No,LA JARA CREEK,,Bureau of Indian Affairs,25-50 feet,600,Bureau of Indian Affairs,,,,No,Rio Arriba,0,2015-06-11,,NM00188,0,No,0,1900-1909,Earth,No,No,27,36.74024,High,1900,BIA,27,Bureau of Indian Affairs,Not Available,5,0,,,Fish and Wildlife Pond,https://www.bia.gov/bia/ots/dwp/safety-dams,NM00188,2018-10-04,,,,,Bureau of Indian Affairs,No,-107,,0,Bureau of Indian Affairs,600,Bureau of Indian Affairs,New Mexico,,0,2012-07-11
903,None,5268,,Texas Gulf Tailings (Phase 1e & 1f Enl.),,,Soil,Not Required,Earth,Tailings;Other,"Congressional District 00, Wyoming",895,,1.3,25,,,Private,ALCHEM,,Earth,Private,Yes,DRAINAGE OF BLUEBELL DRAW,,,25-50 feet,19263,,1998,"Enl. of 9256r, 8833r, 7710r",28,Yes,Sweetwater,,,,WY01492,,Yes,12,1970-1979,Earth,Yes,Yes,30,41.744600000000005,Significant,1976,GENESIS ALKALI,30,Wyoming,Fair,5,,MAXIM TECHNOLOGIES,2022-06-28,Other,https://damsafety.org/wyoming,WY01492,2023-01-05,19263,SEO,0,,,Yes,-109.8726,10673R,0,,16533,,Wyoming,None,,2022-06-28
904,None,12672,,Lower Snake Draw (4th Enl.),,,Soil,Not Required,Earth,Tailings;Other,"Congressional District 00, Wyoming",1504,22,6.1000000000000005,80,,,Private,GREEN RIVER,,Earth,Private,Yes,SNAKE DRAW,,,51-100 feet,38938,,2004,"8092r, 8579r, 10590r, 11088r",85,Yes,Sweetwater,,,,WY01746,0,Yes,0,1990-1999,Earth,Yes,Yes,85,41.6084,Significant,1998,GENESIS ALKALI,85,Wyoming,Fair,5,0,"JOHN WALLACE - IGES, INC.",2021-05-24,Tailings,https://damsafety.org/wyoming,WY01746,2022-03-17,38938,SEO,18,,,Yes,-109.81330000000001,11089R,2.5,,38063,,Wyoming,Uncontrolled,,2021-05-24
905,None,4200,,Aps Lined Ash Impoundment,,,Soil,Yes,,Tailings,"Congressional District 03, New Mexico",56,T29N R16W S34,0.16,,,0,Public Utility,SHIPROCK,,Earth,Public Utility,Yes,CHACO WASH - TR,,,25-50 feet,830,,,Aps Lined Ash Pond,40,Yes,San Juan,0,2020-01-29,,NM00633,0,Yes,15,Since 2000,Earth,Yes,Yes,40,36.6849,Significant,2003,ARIZONA PUBLIC SERVICE COMPANY,40,New Mexico,Satisfactory,3,1057000,ARIZONA PUBLIC SERVICE COMPANY,2019-11-20,Tailings,https://damsafety.org/new-mexico,NM00633,2021-04-09,830,OFFICE OF THE STATE ENGINEER,,,,No,-108.5066,D-634,0,,98,,New Mexico,Needle0,0,2019-11-20
906,None,750,,Womack #1,,,Soil,Not Required,Earth,Irrigation,"Congressional District 03, Colorado",34,,0,28,,0,Private,CEDAREDGE,,Earth,Private,Yes,WARD CREEK-TR,,,25-50 feet,313,,,,27,Yes,Delta,0,,,CO00650,0,Yes,8,1960-1969,Earth,Yes,Yes,32,39.011676,Low,1962,TONGUE CREEK ORCHARDS,32,Colorado,Not Rated,6,58002,,,Irrigation,https://damsafety.org/colorado,CO00650,2022-12-22,313,DWR,691,,,Yes,-107.975572,400605,20,,186,,Colorado,Slide (sluice gate);Uncontrolled,0,2022-10-06
907,,,,Red Rock Valley,,,,No,,,"Congressional District 01, Arizona",,,,,,0,Not Listed,,,,Not Listed,No,,,,25-50 feet,410,,,,35,No,Apache,0,,,AZ10452,0,No,0,Undetermined,,No,No,,36.51697,Undetermined,,,35,Bureau of Indian Affairs,Not Available,0,0,,,,https://www.bia.gov/bia/ots/dwp/safety-dams,AZ10452,2018-10-04,,,,,,No,-109.11939,,0,,410,,Arizona,,0,
