"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federally Regulated Dam","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Length of Secondary Lock","Lock Width (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","American Indian/Alaska Native/Native Hawaiian"
"Lower Goldwater","","","AZ00005","","AZ00005","CITY OF PRESCOTT","Local Government","Local Government","0","","No","Water Supply","Water Supply","Arizona","","34.49861","-112.45750000000001","Arizona","Yavapai","PRESCOTT","4","BANNON CREEK","Congressional District 02, Arizona","S15, T13N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Gravity","Gravity","Concrete","Rock","67","","73","73","51-100 feet","508","10673","1923","1920-1929","","351","351","271","16","2.8000000000000003","","Uncontrolled","152","0","0","","0","","","2021-04-02","2020-07-09","1","High","Satisfactory","2017-08-14","Yes","","https://damsafety.org/arizona","","",""
"Slack","","","AZ00225","","AZ00225","CAPSTONE PINTO VALLEY MINING CORP.","Private","Private","0","","No","Flood Risk Reduction","Flood Risk Reduction;Other","Arizona","","33.423300000000005","-110.9975","Arizona","Gila","ROOSEVELT LAKE ESTATES","16","PINTO CREEK - TR","Congressional District 02, Arizona","S14,T1N,R13E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Rockfill","Rockfill","Earth","Rock","50","","60","60","51-100 feet","587","53000","1995","1990-1999","","59","59","42","4","0.12","","Uncontrolled","40","0","0","","0","","","2021-04-02","2014-03-25","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Jumbo","","","AZ00214","","AZ00214","ASHFORK CATTLE;JUNIPERWOOD RANCH, INC.","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.200559999999996","-112.53833","Arizona","Yavapai","PAULDEN","32","ASH FORK DRAW","Congressional District 02, Arizona","S18, T21N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","32","","","32","25-50 feet","320","8000","1945","1940-1949","","200","200","114","17","88","","Uncontrolled","85","0","0","","0","","","2021-04-02","2011-08-19","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Smith Tank","","","AZ00258","","AZ00258","SMITH FAMILY TRUST","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Irrigation","Arizona","","32.82222","-109.84167","Arizona","Graham","THATCHER","0","ASH CREEK - TR","Congressional District 06, Arizona","S13,T7S,R24E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Rock;Soil","17.8","16","","17.8","Less than 25 feet","382","0","","Undetermined","","72.4","","72.4","7.3","","","Uncontrolled","12","0","0","","0","","","2021-04-02","2013-11-20","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Sycamore Dam","Bear Canyon","Sycamore Springs","AZ82410","","AZ82410","USDA FS","Federal","Federal","0","","No","","","Forest Service","030505 92502","32.34908333","-110.746825","Arizona","Pima","TUCSON","5","BEAR CANYON CREEK","Congressional District 06, Arizona","S31,12S,R16E","No","","","","","","Forest Service","","","","","No","","","","No","N/A","Masonry","Masonry;Gravity","Concrete","Rock","47","44","","47","25-50 feet","60","871","1939","1930-1939","1953S","30","30","1","2","13","290","Uncontrolled","28","","","","","","Uncontrolled","2021-05-17","2009-08-20","","Significant","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Gowan Detention South Dam ","","","NV10634","","NV10634","CITY OF LAS VEGAS","Local Government","Local Government","0","","Yes","Flood Risk Reduction","Flood Risk Reduction;Fish and Wildlife Pond;Recreation","Nevada","J-375","36.213823","-115.25194","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 03, Nevada","212 S20 E60 15BA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Rock;Soil","28","0","0","28","25-50 feet","100","0","","Undetermined","","1492","1492","0","10","0","0","Uncontrolled","0","","","","","","Uncontrolled1","2023-05-25","2022-04-12","1","High","Fair","2022-04-12","Yes","2017-01-18","https://damsafety.org/nevada","","",""
"Blue Diamond Upper Detention Dam","","Upper Blue Diamond Detention Dam","NV10622","","NV10622","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","USA CORPS OF ENGINEERS","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-645","36.02993","-115.31730999999999","Nevada","Clark","LAS VEGAS","0","LAS VEGAS WASH-TR","Congressional District 03, Nevada","212 S22 E59 13DA","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock;Soil","61","44.5","61","61","51-100 feet","3073","100412","2000","Since 2000","","691","691","0","138.6","68.3","148650","Uncontrolled","1831","","","","","","Uncontrolled1","2023-05-25","2022-02-23","1","High","Fair","2022-02-23","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Harquahala FRS","","","AZ00200","","AZ00200","FLOOD CONTROL DISTRICT OF MARICOPA COUNTY","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.54889","-113.10028","Arizona","Maricopa","I-10, CAP, & RANCHES","","BOUSE WASH - TR","Congressional District 09, Arizona","S5, T3N, R8W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","Earth","Soil","38","","","38","25-50 feet","62308","4428000","1982","1980-1989","","8000","8000","0","1180","102","","Uncontrolled","150","0","0","","0","","Uncontrolled","2021-05-24","2020-11-02","1","High","Satisfactory","2017-11-06","Yes","","https://damsafety.org/arizona","","",""
"North Crescent Lake Dam","","","AZ00306","","AZ00306","USDA FS","Federal","Federal","0","APACHE-SITGREAVES NATIONAL FOREST","No","Recreation","Recreation;Fish and Wildlife Pond","Forest Service","030106 06-14","33.91718333","-109.4250694","Arizona","Apache","DEER CREEK LODGE","8","EAST FORK BLACK RIVER","Congressional District 02, Arizona","S18,6N,R28E","No","","","","","","Forest Service","Forest Service","","","Forest Service","Yes","Forest Service","","","No","N/A","Earth","Earth","Earth;Unlisted/Unknown;Unlisted/Unknown","Rock;Soil","17","17","","17","Less than 25 feet","750","0","1934","1930-1939","","5800","5800","5700","0","2","","Uncontrolled","2","","","","","","","2021-05-17","2006-04-19","","Significant","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Blue Springs","","","UT00048","","UT00048","KOLOB RECREATION ASSOCIATION","Private","Private","0","","No","Recreation","Recreation","Utah","UT00048","37.40015277","-113.0457783","Utah","Washington","ZION NATIONAL PARK","1","BLUE SPRINGS CREEK-BEAR CREEK","Congressional District 02, Utah","13,39S~11W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","26","31","31","25-50 feet","326","","1957","1950-1959","","465","465","275","","1","","","","","","","","","","2021-03-17","2019-06-19","2","Significant","Not Rated","","Yes","","https://damsafety.org/utah","","",""
"Quail Creek","","","UT00514","","UT00514","WASHINGTON COUNTY WATER CONSERVANCY","Local Government","Local Government","0","","No","Irrigation","Irrigation","Utah","UT00514","37.18015031","-113.3807831","Utah","Washington","FARMS","5","QUAIL CREEK & PIPELINE","Congressional District 02, Utah","36,41S~14W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","","","199","209","209","Greater than 100 feet","895","","1984","1980-1989","","45050","45050","40325","","78","660","","","","","","","","","2021-03-17","2020-10-07","1","High","Satisfactory","","Yes","","https://damsafety.org/utah","","",""
"Stockton Hill","","","AZ00219","","AZ00219","PATRICIA LEWIS","Private","Private","0","","No","Recreation","Recreation","Arizona","","35.29917","-114.06639","Arizona","Mohave","KINGMAN","2","UNNAMED WASH","Congressional District 09, Arizona","S14, T22N, R17W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","27","27","37","37","25-50 feet","790","86000","1997","1990-1999","","145","145","69","8.4","2.9","2910","Uncontrolled","210","0","0","","0","","","2021-04-02","2012-04-27","5","Low","Not Rated","","Yes","","https://damsafety.org/arizona","","",""
"Lower Chalk Tank","","","AZ00315","","AZ00315","BAR BOOT RANCH","Private","Private","0","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","32.07778","-109.81917","Arizona","Cochise","NO DATA","0","UNKNOWN","Congressional District 06, Arizona","S23, T20S, R28E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","22.400000000000002","","","22.400000000000002","Less than 25 feet","650","0","2002","Since 2000","","54.300000000000004","","54.300000000000004","7.3","2.9","","Uncontrolled","0","0","0","","0","","","2021-04-02","2010-12-03","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Apache Junction FRS","","","AZ00211","","AZ00211","FLOOD CONTROL DISTRICT OF MARICOPA COUNTY","Local Government","Local Government","0","EBASCO","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.44139","-111.55194","Arizona","Pinal","APACHE JUNCTION","","UNNAMED WASHES","Congressional District 05, Arizona","S8, T1N, R8E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","Earth","Soil","22","22","38","38","25-50 feet","8450","404400","1988","1980-1989","","2050","2050","0","174","6.15","1875","Uncontrolled","100","0","0","","0","","Uncontrolled","2021-05-24","2020-12-01","1","High","Satisfactory","2017-12-04","Yes","","https://damsafety.org/arizona","","",""
"Paulden Tank #2","","","AZ00256","","AZ00256","DEWEY J. LEVIE FAMILY LIMITED PARTNERSHIP","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Recreation","Arizona","","34.89667","-112.47056","Arizona","Yavapai","PAULDEN","0","BIG CHINO WASH - TR","Congressional District 02, Arizona","S33, T18N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","11.1","","","11.1","Less than 25 feet","435","0","1961","1960-1969","","112.10000000000001","112.10000000000001","0","30.3","","","None","0","0","0","","0","","","2021-04-02","2012-10-18","5","Low","Not Rated","","Yes","","https://damsafety.org/arizona","","",""
"Upper Gila Valley Site No. 8 Dam","Clark Floodwater Retarding Structure","0","NM00255","","NM00255","UPPER GILA VALLEY ARROYOS WATERSHED DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction;Debris Control","New Mexico","D-255","33.019935","-108.55843","New Mexico","Grant","UNINCORPORATED COMMUNITY SOUTHEAST OF DAM","","CLARK (MILLER) CANYON","Congressional District 02, New Mexico","T15S R17W S12","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","Soil","30","29","35","35","25-50 feet","300","19959","1963","1960-1969","","82","82","0","7","0.8","630","Uncontrolled","40","0","0","","0","","Uncontrolled0","2021-05-24","2018-05-23","3","High","Poor","2018-05-23","No","","https://damsafety.org/new-mexico","","",""
"Park Avenue Detention Basin Complex","","","AZ00307","","AZ00307","PIMA COUNTY FLOOD CONTROL DISTRICT","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.21611","-109.20167000000001","Arizona","Cochise","TUCSON","0","UNKNOWN","Congressional District 06, Arizona","NO DATA","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","18","","","18","Less than 25 feet","165","0","2008","Since 2000","","416","","416","15.27","8.8","","Uncontrolled","0","0","0","","0","","","2021-04-02","2020-04-09","1","High","Satisfactory","2018-04-11","Yes","","https://damsafety.org/arizona","","",""
"Red Mountain Freeway Levee","","","AZ00309","","AZ00309","ARIZONA DEPARTMENT OF TRANSPORTATION","State","State","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.75333","-111.79694","Arizona","Maricopa","NO DATA","0","UNKNOWN","Congressional District 01, Arizona","S26, T2N, R6E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","16","","","16","Less than 25 feet","16877","0","2008","Since 2000","","1158","1158","0","","","","None","0","0","0","","0","","","2021-04-02","2020-11-12","1","High","Satisfactory","2017-11-01","Yes","","https://damsafety.org/arizona","","",""
"Capd 8 Dam","Chlor Alkali Pond 8","","NV10925","","NV10925","OLIN CHLOR ALKALI PRODUCTS","Private","Private","","","No","Other","Other","Nevada","J-742","36.046800000000005","-115.0095","Nevada","Clark","Henderson","0","N/A","Congressional District 01, Nevada","","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown;Unlisted/Unknown","Soil","0","0","0","0","Undetermined","1860","0","1974","1970-1979","2017","53.7","39.1","53.7","5","0","0","None","0","","","","","","None","2023-05-25","2018-04-16","0","Low","Fair","2018-04-16","Not Required","","https://damsafety.org/nevada","","",""
"Kyle Canyon Detention Dam","","","NV10416","","NV10416","CITY OF LAS VEGAS","Local Government","Local Government","0","","Yes","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-396","36.30028","-115.33833","Nevada","Clark","NORTH LAS VEGAS","4","LAS VEGAS WASH-TR","Congressional District 03, Nevada","212 S19 E59 13","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Rock;Soil","46","46","41","46","25-50 feet","8500","1971000","1995","1990-1999","","3250","3250","3250","148","0","140000","Uncontrolled","0","","","","","","Uncontrolled1","2023-05-25","2022-04-10","1","High","Fair","2022-04-10","Yes","2020-06-30","https://damsafety.org/nevada","","",""
"Kolob Creek","","","UT00164","","UT00164","WASHINGTON COUNTY WATER CONSERVANCY DIST","Private","Private","0","USDA NRCS","No","Irrigation","Irrigation","Utah","UT00164","37.43356774","-113.0477259","Utah","Washington","VIRGIN","23","KOLOB CREEK","Congressional District 02, Utah","36,38S~11W SL","Yes","Yes","Utah Division of Water Rights","Yes","Yes","Yes","","","Natural Resources Conservation Service","","","No","","","","No","N/A","Earth","Earth","","","","55","61","61","51-100 feet","686","","1956","1950-1959","","7189","7189","5586","","8","210","","","","","","","","","2021-05-24","2020-06-10","1","High","Fair","","Yes","","https://damsafety.org/utah","","",""
"Kearny Lake","","","AZ00244","","AZ00244","TOWN OF KEARNY","Local Government","Local Government","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Arizona","","33.05","-110.89917","Arizona","Pinal","GILA RIVER","0","OFFSTREAM","Congressional District 02, Arizona","S27, T4S, R14E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Soil","28","28","","28","25-50 feet","1700","0","2000","Since 2000","","203","203","150","10.200000000000001","0.04","1405","Uncontrolled","25","0","0","","0","","","2021-04-02","2021-01-28","1","High","Satisfactory","2018-03-08","Yes","","https://damsafety.org/arizona","","",""
"Lower Blue Diamond Detention Dam","","","NV10768","","NV10768","CLARK COUNTY PUBLIC WORKS","Local Government","Local Government","0","MWH AMERICAS INC","No","Flood Risk Reduction","Flood Risk Reduction","Nevada","J-641","36.042305999999996","-115.216778","Nevada","Clark","LAS VEGAS","0","DUCK CREEK-TR","Congressional District 03, Nevada","212 S22 E60 12D","Yes","Yes","NEVADA DWR","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Concrete","Soil","12","12","14","14","Less than 25 feet","5158","10000","2012","Since 2000","","447","447","0","25.6","16","74000","Uncontrolled","5000","","","","","","None0","2023-05-25","2022-04-11","1","High","Fair","2022-04-11","Yes","2017-11-30","https://damsafety.org/nevada","","",""
"Upper Gila Valley Site No. 9 Dam","Pacific Western Floodwater Retarding Structure","0","NM00256","","NM00256","UPPER GILA VALLEY ARROYOS WATERSHED DISTRICT","Local Government","Local Government","0","USDA NRCS","No","Flood Risk Reduction","Flood Risk Reduction;Debris Control","New Mexico","D-256","33.0176","-108.56360000000001","New Mexico","Grant","UNINCORPORATED COMMUNITY SOUTH OF DAM","","PACIFIC WESTERN CANYON","Congressional District 02, New Mexico","T15S R17W S11","Yes","Yes","OFFICE OF THE STATE ENGINEER","Yes","Yes","Yes","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","No","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","Soil","29.1","","33","33","25-50 feet","296","22080","1962","1960-1969","","87","87","0","","0.89","563","Uncontrolled","40","0","0","","0","","Uncontrolled0","2021-05-24","2018-05-23","3","High","Poor","2018-05-23","No","","https://damsafety.org/new-mexico","","",""
"Big Aso","Big Aso Tank","","AZ00293","","AZ00293","CURT WELLS","Private","Private","0","","Yes","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Arizona","","35.34417","-112.51611","Arizona","Coconino","NO DATA","0","PARTRIDGE CREEK - TR","Congressional District 02, Arizona","S29, T23N, R2W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","16.4","16.4","","16.4","Less than 25 feet","374","0","","Undetermined","","95.3","","95.3","17.43","","","Uncontrolled","18","0","0","","0","","","2021-04-02","2012-11-14","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Kaibab","","","AZ00093","","AZ00093","CITY OF WILLIAMS","Local Government","Local Government","0","","Yes","Recreation","Recreation;Water Supply","Arizona","","35.283609999999996","-112.16194","Arizona","Coconino","HAVASUPAI INDIAN RESERVATION","100","DOGTOWN WASH","Congressional District 02, Arizona","S15, T22N, R2E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Rockfill","Rockfill","Earth","Rock;Soil","36","36","44","44","25-50 feet","664","0","1934","1930-1939","","967","967","890","75","18","4380","Uncontrolled","200","0","0","","0","","","2021-04-02","2017-11-14","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Clearwell Reservoir","","","AZ00210","","AZ00210","CITY OF TUCSON, TUCSON WATER","Local Government","Local Government","0","","No","Water Supply","Water Supply","Arizona","","32.20472","-111.05167","Arizona","Pima","TUCSON","0","UNNAMED WASH","Congressional District 07, Arizona","S19, T14S, R13E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Rock;Soil","77","77","","77","51-100 feet","500","87000","1992","1990-1999","","178","","178","7","0.04","","Uncontrolled","110","0","0","","0","","","2021-04-02","2021-02-11","1","High","Satisfactory","2018-01-30","Yes","","https://damsafety.org/arizona","","",""
"Parker Canyon","","","AZ00014","","AZ00014","ARIZONA GAME & FISH DEPARTMENT","State","State","0","","Yes","Recreation","Recreation","Arizona","","31.427500000000002","-110.45722","Arizona","Cochise","LOS MATATES, MEXICO","15","PARKER CANYON CREEK","Congressional District 06, Arizona","S18, T23S, R19E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock","80","80","","80","51-100 feet","600","196000","1962","1960-1969","","4400","4400","3710","133","9","1266","Uncontrolled","50","0","0","","0","","","2021-04-02","2019-11-26","1","High","Fair","2017-11-16","Yes","","https://damsafety.org/arizona","","",""
"Gillespie","","","AZ00106","","AZ00106","GILLESPIE DAM INVESTMENTS, LLC","Private","Private","0","","No","Irrigation","Irrigation","Arizona","","33.22944","-112.78306","Arizona","Maricopa","GILA BEND","18","GILA RIVER","Congressional District 09, Arizona","S28, T2S, R5W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Multi-Arch","Multi-Arch","Earth","Soil","21","26.7","66","66","51-100 feet","1768","0","1921","1920-1929","","3600","3600","0","80","4965","130000","Uncontrolled","1657","0","0","","0","","","2021-04-02","2020-09-24","3","Significant","Not Rated","","Yes","","https://damsafety.org/arizona","","",""
"Casandro Wash","","","AZ00230","","AZ00230","FLOOD CONTROL DISTRICT OF MARICOPA COUNTY","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.9675","-112.74861","Arizona","Maricopa","WICKENBURG","0","CASANDRO WASH","Congressional District 09, Arizona","S11, T7N, R5W","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Rock","41","32","47","47","25-50 feet","350","42300","1996","1990-1999","","247","247","0","11","3","","Uncontrolled","80","0","0","","0","","","2021-04-02","2020-06-18","1","High","Satisfactory","2018-04-02","Yes","","https://damsafety.org/arizona","","",""
"Soldier Lake Dam","","","AZ83485","","AZ83485","USDA FS","Federal","Federal","0","","No","","","Forest Service","030505 92503","32.42629445","-110.7443944","Arizona","Pima","TUCSON","20","SABINO CANYON","Congressional District 06, Arizona","S6,12S,R16E","No","","","","","","Forest Service","","","","","No","","","","No","N/A","Stone","Stone;Arch","Unlisted/Unknown;Unlisted/Unknown;Unlisted/Unknown;Unlisted/Unknown","Rock","23","22","","23","Less than 25 feet","36","37","1922","1920-1929","","15","15","1","1","1","","Controlled","1","","","","","","Other Controlled","2021-05-17","2009-08-20","","Significant","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","",""
"Mclellan","","","AZ00137","","AZ00137","MCLELLAN LAKE PROPERTIES, INC.","Private","Private","0","","No","Fish and Wildlife Pond","Fish and Wildlife Pond","Arizona","","35.22139","-112.28306","Arizona","Coconino","MASONRY #2 DAM","7","JOHNSON CANYON","Congressional District 02, Arizona","S4, T21N, R1E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Gravity","Gravity","Concrete","Rock","21","","33","33","25-50 feet","293","0","1907","1900-1909","","110","110","76","19","8","","Uncontrolled","120","0","0","","0","","","2021-04-02","2019-09-12","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Tyler Reservoir","","","AZ00096","","AZ00096","ARIZONA GAME & FISH DEPARTMENT;BOBBY PETERS","Private;State","Private","0","","Yes","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond;Irrigation","Arizona","","34.11056","-109.52861","Arizona","Apache","ST. JOHNS","28","CARNERO CREEK","Congressional District 02, Arizona","S7, T8N, R27E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","","Unlisted/Unknown","9","9","","9","Less than 25 feet","142","3000","1929","1920-1929","","375","375","375","15","3.5","","Uncontrolled","4","0","0","","0","","","2021-04-02","2020-08-30","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
"Creighton Detention Dam","","","AZ20008","","AZ20008","ARIZONA DEPARTMENT OF WATER RESOURCES","State","State","0","DOI BLM","Yes","Flood Risk Reduction","Flood Risk Reduction","Arizona","","32.37678","-109.56070000000001","Arizona","Cochise","SOLOMON AZ","0","GOLD GULCH","Congressional District 06, Arizona","S23, 0120S, 0270E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Soil","","","","0","Undetermined","","0","1956","1950-1959","","2970","780","2970","","","15400","","0","0","0","","0","","","2021-04-02","2019-11-07","1","Significant","Satisfactory","","Yes","","https://damsafety.org/arizona","","",""
"Phoenix Detention Basin #7","","","AZ00176","","AZ00176","CITY OF PHOENIX, STREET TRANSPORTATION DEPT.","Local Government","Local Government","0","","No","Flood Risk Reduction","Flood Risk Reduction","Arizona","","33.60167","-112.07333","Arizona","Maricopa","PHOENIX","0","CAVE CREEK - TR","Congressional District 01, Arizona","S17, T3N, R3E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Rock","22.6","22.6","31.3","31.3","25-50 feet","1050","40750","1978","1970-1979","","272","272","0","18.400000000000002","0.63","5600","Uncontrolled","100","0","0","","0","","","2021-04-02","2020-02-25","1","High","Satisfactory","2018-03-27","Yes","","https://damsafety.org/arizona","","",""
"Morton","","","AZ00104","","AZ00104","FLYING M. LAND & CATTLE CO.","Private","Private","0","","Yes","Irrigation","Irrigation;Fire Protection, Stock, Or Small Fish Pond;Recreation","Arizona","","34.89111","-111.29333","Arizona","Coconino","TWO GUNS","30","MORTON CANYON WASH","Congressional District 02, Arizona","S36, T18N, R10E","Yes","Yes","ARIZONA DEPARTMENT OF WATER RESOURCES","Yes","Yes","Yes","","","","","","No","","","","No","N/A","Earth","Earth","Earth","Unlisted/Unknown","12","","17","17","Less than 25 feet","165","0","1943","1940-1949","","330","330","285","29","1","608","Uncontrolled","50","0","0","","0","","","2021-04-02","2012-06-13","5","Low","Not Rated","","Not Required","","https://damsafety.org/arizona","","",""
